일련번호,번호,명칭,명칭(원문),요약,요약(원문),출원인,출원인영문명,출원인국가,출원인대표명,발명자,국제특허분류,공통특허분류,미국특허분류,출원번호,출원일,공개번호,공개일,공고번호,공고일,등록번호,등록일,우선권번호,국제출원번호,국제출원일,국제공개번호,국제공개일,INPADOC 패밀리,심사관,대리인,지정국가,독립 청구항수,전체 청구항수,대표 청구항,대표 청구항(원문),전체 청구항,전체 청구항(원문),권리 현황,최종 상태,현재소유자,권리만료예상일,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,특허평가점수,발명자평가평균등급,발명자평가평균점수,FI,F-Term,INPADOC패밀리수,INPADOC패밀리국가수,발명자수,Genealogy수,INPADOC패밀리국가,소유권이전여부,소유권최종양도일,특허전문 Link
795,USD611998,Toy car,,,,Brinquedos Bandeirante S.A.,,BR,BRINQUEDOS BANDEIRANTE SA,Pucci; Ricardo Jose Antoniazzi,2101,,D21/433,US29/327414,2008.11.05,,,,,USD611998,2010.03.16,BR DI6802028-7 (2008.05.06),,,,,USD611998S,Hyder; Philip S|Chin; Cynthia M,Cantor Colburn LLP,,1,1,,,"The ornamental design for a toy car, as shown and described.",,Alive,Alive,BRINQUEDOS BANDEIRANTE SA,2024.03.16,"USD393888,USD402332,USD416056,USD423604,USD426270,USD432183,USD432185,USD446827,USD458314,USD472501,USD483812,USD503952,USD524876,USD533603,USD564040",,"USD637660,USD638548,USD678962,USD700248,USD720815,USD732115,USD740374,USD746382",15,8,,,C,2,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0611998__?key=lEQ7cgkI3ItK91r4rL65zcSJmFZWUhG9&site=FOCUST3-KR
796,USD611952,Display panel with a computer icon of an instrument gauge of a vehicle,,,,"GM Global Technology Operations, Inc.",,US,GM GLOBAL TECHNOLOGY OPERATIONS INC,Berg; Frederick J.|Bennett; Timothy J.|Jiddou; Remon J.|Riefe; Richard K.|Dybalski; Ronald H.|Phillips; Timothy M.,3200,,D14/489,US29/298045,2007.11.27,,,,,USD611952,2010.03.16,US 29/231110 (2005.06.01),,,,,USD611952S,Tung; Melanie H,Cantor Colburn LLP,,1,1,,,"An ornamental design for a display panel with a computer icon of an instrument gauge of a vehicle, as shown and described.",,Alive,Alive,STEERING SOLUTIONS IP HOLDING CORP,2024.03.16,"USD180845,USD252320,USD381614,USD422545,USD450282,US6549219,USD474195,USD474197,USD487417,USD489661,USD493177,USD498191,USD504370,USD507002,US6925611,USD511524,USD512672,USD522559,USD534541,USD534915,USD544495,USD546334,USD550238,USD561776,USD567249,USD574395,USD585906,USD586353",,"USD635987,USD635988,USD643852,USD644242,USD644243,USD647914,USD648737,USD648738,USD659159,USD665417,USD682312,USD708217,USD709093,USD715808,USD716819,USD721087,USD721088,USD726735,USD726741,USD736254,USD736815,USD739860,USD739861,USD746836,USD748648,USD749106,USD761295,USD763265,USD766931,USD766932,USD766933,USD767599,USD769890,USD772932,USD780197,USD780805,USD781878,USD781879,USD784394,USD784395,USD787533,USD788161,USD789381,USD789385",28,44,,,B+,5,,,1,1,6,0,US,Y,2012.01.26,http://service.wisdomain.net/FullTextService/View/USD0611952__?key=lEQ7cgkI3ItK91r4rL65zUQTHo2PBVVQ&site=FOCUST3-KR
797,USD611890,Tire tread for a vehicle tire,,,,Continental Aktiengesellschaft,,DE,CONTINENTAL AG,Lessmann; Kristina,1215,,D12/527,US29/340189,2009.07.15,,,,,USD611890,2010.03.16,EM 001119440 (2009.04.08),,,,,"CA131113S, USD611890S",Cadmus; Stacia,"Greenberg, Laurence A.; Stemer, Werner H.; Locher, Ralph E.",,1,1,,,"The ornamental design for a tire tread for a vehicle tire, as shown and described.",,Alive,Alive,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2024.03.16,"USD451859,USD490769,USD524237,USD525187,USD530661,USD544432,USD566037,USD588522,USD593932,USD594814,USD600194",,"USD637547,USD656889,USD722947,USD722948,USD734710,USD739339,USD750552,USD779411,USD783508,USD784913",11,10,,,B0,4,,,2,2,1,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0611890__?key=lEQ7cgkI3ItK91r4rL65zeQnzEYnkxjY&site=FOCUST3-KR
798,USD611884,Automotive steering column cover,,,,,,,,Yeung; Winston,1216,,D12/177,US29/338095,2009.06.04,,,,,USD611884,2010.03.16,,,,,,USD611884S,Brown; Melody N,"Kyle, C. Larry; Nexus Law Group LLP",,1,1,,,"The ornamental design for an automotive steering column cover, as shown and described.",,Alive,Alive,,2024.03.16,"USD491825,USD492213,USD514994,US7180020,USD538720,USD593913,USD593914,US7595457",,"USD643791,USD701477",8,2,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0611884__?key=lEQ7cgkI3ItK91r4rL65zbNI5byfkj5i&site=FOCUST3-KR
799,USD611880,Combined display and vehicle,,,,Voss; Richard A.,,US,UNASSIGNED,Voss; Richard A.,1208,,"D12/093, D12/015, D20/019",US29/327568,2008.11.07,,,,,USD611880,2010.03.16,US 29/267742 (2006.10.20),,,,,"USD583712S, USD611880S, USD634672S, USD662443S",Seeger; Janice E|Calabrese; Mary Ann,"Morgan, Lewis & Bockius LLP",,1,1,,,"An ornamental design for a combined display and vehicle, as shown and described.",,Alive,Alive,Voss; Richard A.,2024.03.16,"US1442049,US1749274,US2140590,USD162355,US3051502,US4382632,US5454620,US5480214,US5649730,US5918924,US6520589,US6554367,US7287349,USD583712,2005/0231021(US7913931),2006/0248763,2006/0265922(US7347017)",,"USD634672,USD652771,USD662443,USD685294",17,4,,,,,,,4,1,1,4,US,N,,http://service.wisdomain.net/FullTextService/View/USD0611880__?key=lEQ7cgkI3ItK91r4rL65zYQxMs%2fmWzm1&site=FOCUST3-KR
800,USD611879,Vehicle body,,,,"GM Global Technology Operations, Inc.",,US,GM GLOBAL TECHNOLOGY OPERATIONS INC,Kim; Young Sun|Aliyu; A. Jelani|Song; In Ho,1208,,D12/092,US29/275665,2007.01.03,,,,,USD611879,2010.03.16,,,,,,USD611879S,Davis; Antoine D,,,1,1,,,"The ornamental design for a vehicle body, as shown and described.",,Alive,Alive,GM GLOBAL TECHNOLOGY OPERATIONS INC,2024.03.16,"USD534221,USD568213,USD574752",,"USD622635,USD623089,USD651943,USD668182,USD668183,USD675968,USD680909,USD680910,USD684899,USD692799,USD703103,USD704103,USD713764,USD718189,USD722282,USD722534,USD723426,USD726591,USD730776,USD732427,USD732429,USD732430,USD732431,USD732432,USD732433,USD733002,USD735611,USD741223,USD749985,USD764362,USD764975,USD764976,USD766146,USD766789,USD767449,USD767450,USD767451,USD767454,USD767458,USD767459,USD767460,USD767461,USD769157,USD769782,USD770068,USD771532,USD771533,USD772766,USD772767,USD773084,USD773086,USD774226,USD775003,USD775549,USD775554,USD776020,USD776021,USD776581,USD776841,USD776843,USD776846,USD777359,USD777360,USD777361,USD777604,USD777605,USD777620,USD777621,USD777622,USD777628,USD777955,USD778212,USD778215,USD780064,USD780067,USD780068,USD780081,USD780631,USD781184,USD781192,USD782379,USD783482,USD784213,USD784223,USD784226,USD784579,USD784877,USD784886,USD785521,USD786149,USD786743,USD786750,USD787984,USD787988,USD787989,USD787990,USD787992,USD787993,USD788001,USD788641,USD788644,USD788645,USD789250,USD789260,USD789575,USD789841,USD789849,USD791018,USD791644,USD792290,USD792293,USD792294,USD792295,USD792815,USD792816",3,115,,,B+,5,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0611879__?key=lEQ7cgkI3ItK91r4rL65zYORkheCgC8u&site=FOCUST3-KR
801,USD611847,Ruggedized housing for a vehicle locator,,,,Webtech Wireless Inc.,,CA,WEBTECH WIRELESS INC,Fraser; Cameron B.|Ward; Tarek L.|Mohan; Sudeep,1004,,"D10/065, D10/070",US29/309653,2008.09.22,,,,,USD611847,2010.03.16,,,,,,USD611847S,Davis; Antoine D,,,1,1,,,"The ornamental design for a housing for an automatic vehicle locator, as shown and described.",,Alive,Alive,WEBTECH WIRELESS INC,2024.03.16,"USD259880,USD302157,USD314963,USD343362,USD371788,USD385564,USD400534,USD426225,USD440504,USD461133,USD464031,USD471539,USD549116",,"USD659037,USD719857,USD758901,USD758902,USD760097,USD760098",13,6,,,B0,4,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0611847__?key=lEQ7cgkI3ItK91r4rL65zUU70hlwZ4tX&site=FOCUST3-KR
802,USD611751,Temporary car seat cover for a bench seat,,,,"Bergan, LLC",,US,BERGANN LLC,Siklosi; Tibor,613,,D06/611,US29/342886,2009.09.02,,,,,USD611751,2010.03.16,,,,,,USD611751S,Nelson; T. Chase|Muller; David G,"Head, Johnson & Kachigian, P.C.",,1,1,,,"The ornamental design for a temporary car seat cover for a bench seat, as shown and described.",,Alive,Alive,COASTAL PET PRODUCTS INC,2024.03.16,"US2227180,USD251341,US4676376,USD307370,USD310314,USD336585,USD343325,US5403066,USD359411,US5494330,US5618082,USD387940,US5733002,USD396984,US6089659,US6382720,US6648410,US6676209,USD491405,USD500623,US6951368,US7000984,USD537289,USD538574,USD577243,USD601376","GB2144628,JP03138727,JP09238785,JP2005205177","US8038211,US8465093,US8696062,USD636624,USD637441,USD638240,USD647351,USD672597,USD674648,USD675858,USD685213,USD692259,USD716585,USD777473",26,14,,,A-,6,,,1,1,1,0,US,Y,2015.02.27,http://service.wisdomain.net/FullTextService/View/USD0611751__?key=lEQ7cgkI3ItK91r4rL65zTXLnH5BhbVl&site=FOCUST3-KR
803,USD611402,Tire for a car,,,,"Kumho Tire Co., Inc.",,KR,KUMHO TIRE CO LTD,Lee; Si-On,1215,,D12/584,US29/280475,2007.05.29,,,,,USD611402,2010.03.09,KR 30-2006-0047837 (2006.12.01),,,,,USD611402S,Veynar; Caron|Rademaker; Garth,TIPS Group,,1,1,,,"The ornamental design for a tire for a car, as shown and described.",,Alive,Alive,KUMHO TIRE CO LTD,2024.03.09,"USD388380,USD400134,USD446482,USD471859,USD471860,USD480681,USD494922,USD509787,USD515020,USD534485",,"USD641685,USD646625,USD647033,USD662035,USD702627,USD715730,USD765582,USD782969",10,8,,,B0,4,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0611402__?key=lEQ7cgkI3ItK91r4rL65zRT47wPVJDRr&site=FOCUST3-KR
804,USD611395,Vehicle rear bumper,,,,Chrysler Group LLC,,US,CHRYSLER GROUP LLC,Krugger; Scott|Allen; Mark T.|Gilles; Ralph V.|Anness; Timothy W.,1216,,D12/169,US29/333821,2009.03.16,,,,,USD611395,2010.03.09,US 29/304483 (2008.03.03),,,,,"USD588501S, USD602618S, USD602619S, USD605996S, USD609141S, USD609143S, USD609150S, USD609615S, USD611395S, USD627276S, USD641503S",Brown; Melody N,"Smith, Ralph E.",,1,1,,,"The ornamental design for a vehicle rear bumper, as shown and described.",,Alive,Alive,FCA US LLC,2024.03.09,"USD507998,USD515992,USD579828",,"USD627276,USD713306,USD775008",3,3,,,A-,6,,,11,1,4,0,US,Y,2009.06.10,http://service.wisdomain.net/FullTextService/View/USD0611395__?key=lEQ7cgkI3ItK91r4rL65ze8nIjZMgO5s&site=FOCUST3-KR
