일련번호,번호,명칭,명칭(원문),요약,요약(원문),출원인,출원인영문명,출원인국가,출원인대표명,발명자,국제특허분류,공통특허분류,미국특허분류,출원번호,출원일,공개번호,공개일,공고번호,공고일,등록번호,등록일,우선권번호,국제출원번호,국제출원일,국제공개번호,국제공개일,INPADOC 패밀리,심사관,대리인,지정국가,독립 청구항수,전체 청구항수,대표 청구항,대표 청구항(원문),전체 청구항,전체 청구항(원문),권리 현황,최종 상태,현재소유자,권리만료예상일,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,특허평가점수,발명자평가평균등급,발명자평가평균점수,FI,F-Term,INPADOC패밀리수,INPADOC패밀리국가수,발명자수,Genealogy수,INPADOC패밀리국가,소유권이전여부,소유권최종양도일,특허전문 Link
1,USD637825,Child car seat,,,,"Max-Inf (Ningbo) Baby Product Co., Ltd.",,CN,MAX INF BABY PRODUCT CO LTD,Xu; Lihong|Xiao; Gangsheng|Liu; Mingjun,601,,D06/333,US29/380973,2010.12.14,,,,,USD637825,2011.05.17,CN 2010 3 0218470 (2010.06.18),,,,,USD637825S,Veynar; Caron D|Bahta; Abraham,Blank Rome LLP,,1,1,"The ornamental design for a child car seat, as shown and described.",,"The ornamental design for a child car seat, as shown and described.",,Alive,Alive,MAX INF BABY PRODUCT CO LTD,2025.05.17,"USD317534,USD355986,USD413026,USD513888,USD534362,USD604054,USD620719",,,7,0,,,B-,3,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637825__?key=lEQ7cgkI3IvQhkge4UHIOe8B11ZL7m9r&site=FOCUST3-KR
2,USD637660,Race car,,,,"CTA Digital, Inc.",,US,CTA DIGITAL INC,Markowitz; Lipa,2101,,"D21/424, D21/550, D21/551",US29/367183,2010.08.04,,,,,USD637660,2011.05.10,,,,,,"CA136863S, USD637660S",Chin; Cynthia M,Levisohn Berger LLP,,1,1,"The ornamental design for a race car, as shown and described.",,"The ornamental design for a race car, as shown and described.",,Alive,Alive,CTA DIGITAL INC,2025.05.10,"USD255810,USD283829,USD302708,USD328479,USD330736,USD359082,USD368743,USD426270,USD432185,USD457926,USD465814,USD471936,USD503952,USD611998",,USD665703,14,1,,,B+,5,,,2,2,1,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637660__?key=lEQ7cgkI3IvQhkge4UHIOQzrTATPZPMb&site=FOCUST3-KR
3,USD637626,Track for a land vehicle,,,,Zakrytoe Aktsionernoe Obschestvo Nauchno- Proizvodstvennoe Obyedinenie Kompozit,,RU,ZAKRYTOE AKTSIONERNOE OBSCHESTVO NAUCHNO PROIZVODSTVENNOE OBYEDINENIE KOMPOZIT,Vladimirovich; Degtyarev Aleksandr,1503,,D15/028,US29/365406,2010.07.08,,,,,USD637626,2011.05.10,RU 2010501403 (2010.05.24),,,,,"CA137399S, USD637626S",Goodwin; Mark,"Notaro, Michalos & Zaccaria P.C.",,1,1,"The ornamental design for a track for a land vehicle, as shown and described.",,"The ornamental design for a track for a land vehicle, as shown and described.",,Alive,Alive,LLC COMPOSIT,2025.05.10,"USD216301,US3582154,USD222247,US3637267,US3754798,US3756668,USD242612,USD243517,USD260899,USD283206,USD298018,USD302017,USD376996,USD380419,USD386721,USD389428,USD389429,USD389430,USD389431,USD389432,USD389433,USD389434,USD389435,US5713645,US5730510,USD393607,USD394615,USD408326,US6109705,USD431015,USD436892,US6575540,US6626258,USD511481,USD565605,USD567823,USD588169,USD619930",,"US9102370,USD653681,USD680561,USD681071,USD768033,USD768034",38,6,,,C,2,,,2,2,1,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637626__?key=lEQ7cgkI3IvQhkge4UHIOStMXuGLH%2bk%2b&site=FOCUST3-KR
4,USD637623,Air intake snorkel for a vehicle,,,,Australian Performance Development Pty Ltd,,AU,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,Luxon; Peter|Randhawa; Manvir,1501,,"D15/005, D12/400",US29/371003,2010.09.09,,,,,USD637623,2011.05.10,AU 10804/2010 (2010.03.09),,,,,USD637623S,Nelson; T. Chase|Dworzecka; Ania K,Duane Morris LLP,,1,1,"The ornamental design for an air intake snorkel for a vehicle, as shown and described.",,"The ornamental design for an air intake snorkel for a vehicle, as shown and described.",,Alive,Alive,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,2025.05.10,"US6564766,US6637537,US6966292,USD532019,USD545725,US7281511,USD562749,US7685985,USD627369,2002/0179030(US6752115),2003/0019456(US6564766),2006/0185639,2006/0196462(US7281511),2010/0083928(US8137425),2010/0229817,2010/0229818(US8516986)",,"USD648745,USD649162,USD651964,USD680554,USD687071,USD687072,USD687075,USD693370,USD698831,USD719190,USD752109,USD774101",14,12,,,B+,5,,,1,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637623__?key=lEQ7cgkI3IvQhkge4UHIOXPSRLLI1BAW&site=FOCUST3-KR
5,USD637621,Vehicle filter,,,,Drager Safety AG&Co. KGaA,,DE,DRAGER SAFETY AG & CO KGAA,Romba; Marcus|Schmidt; Christoph,1501,,D15/005,US29/351788,2009.12.11,,,,,USD637621,2011.05.10,EP 20091626417 (2009.10.21),,,,,USD637621S,Brooks; Cathron C.|Stevens; Maurice,"Caesar, Rivise, Bernstein, Cohen & Pokotilow, Ltd.",,1,1,"The ornamental design for a vehicle filter, as shown and described.",,"The ornamental design for a vehicle filter, as shown and described.",,Alive,Alive,DRAGER SAFETY AG & CO KGAA,2025.05.10,"USD219103,USD307461,USD309974,USD346640,USD386463,USD471623,USD477659",,,7,0,,,C,2,,,1,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637621__?key=lEQ7cgkI3IvQhkge4UHIOUnPGCZoDWQF&site=FOCUST3-KR
6,USD637557,Car charging plug device with micro USB connections,,,,"T-Mobile USA, Inc.",,US,T MOBILE USA INC,Wegener; Douglas|Fujii; Tami|Realubit; Hector Nunez|Escamilla; Mario A. C.,1303,,D13/144,US29/365964,2010.07.16,,,,,USD637557,2011.05.10,,,,,,USD637557S,Bui; Daniel,"Lee & Hayes, PLLC",,1,1,"The ornamental design for a car charging plug device with micro USB connections, as shown and described.",,"The ornamental design for a car charging plug device with micro USB connections, as shown and described.",,Alive,Alive,T MOBILE USA INC,2025.05.10,"USD349096,USD398287,USD403663,USD409568,US5903135,USD455712,USD490058,USD525587,USD537776,USD569340,USD585824,USD628150,2005/0104557,2005/0151506,2010/0052613",,"US8988040,USD675988,USD704631,USD705159,USD780694,USD790475",15,6,,,B+,5,,,1,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637557__?key=lEQ7cgkI3IvQhkge4UHIOVV%2bu0apKU6Y&site=FOCUST3-KR
7,USD637547,Tire tread for a vehicle tire,,,,Continental Reifen Deutschland GmbH,,DE,CONTINENTAL REIFEN DEUTSCHLAND GMBH,Schlittenhard; Jan|Diensthuber; Franz,1215,,D12/531,US29/379374,2010.11.18,,,,,USD637547,2011.05.10,EM 001709114 (2010.05.18),,,,,"CA137175S, USD637547S",Cadmus; Stacia,"Greenberg, Laurence A.; Stemer, Werner H.; Locher, Ralph E.",,1,1,"The ornamental design for a tire tread of a vehicle tire, as shown and described.",,"The ornamental design for a tire tread of a vehicle tire, as shown and described.",,Alive,Alive,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2025.05.10,"USD320968,USD342224,US6619352,USD490769,USD502911,USD530661,USD556669,USD566037,USD593932,USD600194,USD611890,USD626496",,"USD667777,USD700880,USD725585,USD738289,USD741784,USD756893",12,6,,,B0,4,,,2,2,2,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637547__?key=lEQ7cgkI3IvQhkge4UHIOZEvi8qrkwrz&site=FOCUST3-KR
8,USD637530,Grille of a truck vehicle,,,,"International Truck Intellectual Property Company, LLC",,US,INTERNATIONAL TRUCK INTELLECTUAL PROPERTY CO LLC,Aris; Steve Charles|Durmisevich; Glen Joel|Hardin; Christian Michael|McCowan; George|Song; John|Koonce; Christopher Lee|Oberly; Mark Douglas,1216,,D12/163,US29/367777,2010.08.12,,,,,USD637530,2011.05.10,,,,,,"CA138486S, USD637530S",Brown; Melody N,"Calfa, Jeffrey P.; Bach, Mark C.; Askew, Gerald W.",,1,1,"The ornamental design for a grille of a truck vehicle, as shown and described.",,"The ornamental design for a grille of a truck vehicle, as shown and described.",,Alive,Alive,NAVISTAR INTERNATIONAL TRANSPORTATION CORP|INTERNATIONAL TRUCK INTELLECTUAL PROPERTY CO LLC|INTERNATIONAL ENGINE INTELLECTUAL PROPERTY CO LLC,2025.05.10,"USD592561,USD608697,USD619054,USD627692",,"USD645797,USD673089,USD673486,USD691072,USD698288,USD708555,USD775555,USD786742,USD787384,USD790410",4,10,,,B+,5,,,2,2,7,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637530__?key=lEQ7cgkI3IvQhkge4UHIOcLbPRAvElud&site=FOCUST3-KR
9,USD637522,Motor vehicle body,,,,Aero Investments Pty Ltd,,AU,AERO INVESTMENTS PTY LTD,Ransom; Peter T.|Ransom; Todd|MacDonald; Brian P|Hinchy; Michael|Bartie; Scott,1208,,D12/092,US29/377916,2010.10.27,,,,,USD637522,2011.05.10,AU 201012448 (2010.06.15),,,,,"CA136949S, USD637522S",Brown; Melody N,"Klein, O'Neill & Singh, LLP",,1,1,"The ornamental design for a motor vehicle body, as shown and described.",,"The ornamental design for a motor vehicle body, as shown and described.",,Alive,Alive,AERO INVESTMENTS PTY LTD,2025.05.10,"USD612769,USD617683,USD625664,USD628124",,"USD672699,USD673079,USD679634",4,3,,,C,2,,,2,2,5,0,"CA,US",N,,http://service.wisdomain.net/FullTextService/View/USD0637522__?key=lEQ7cgkI3IvQhkge4UHIOaTwPnGjZtQT&site=FOCUST3-KR
10,USD637509,Low profile light bar for emergency vehicles,,,,,,,,Shin; David D,1005,,D10/114.4,US29/345676,2009.10.20,,,,,USD637509,2011.05.10,,,,,,USD637509S,Veynar; Caron D|Kirschbaum; George D,"Buhler, Kirk A.; Buhler & Associates",,1,1,"The ornamental design of a low profile light bar for emergency vehicles, invention as shown and described.",,"The ornamental design of a low profile light bar for emergency vehicles, invention as shown and described.",,Alive,Alive,MEGA DISTRIBUTION INT'L INC,2025.05.10,"US2814029,US3278741,USD249250,US4357595,USD274001,US4620268,US4937711,US4956753,USD324921,USD345316,USD355142,US5452188,USD400675,USD410402,USD419249,USD432038,USD432444,USD442106,US6461008,USD469711,USD476253,US6590502,US6623151,USD491482,US6788217,US6789930,US6814459,US6822578,USD499976,US7033036,USD545230,US7394398,USD585318,2007/0216523(US8292478),2008/0080164(US7524075)",,"USD647418,USD649077,USD703082,USD737713,USD742269,USD742270,USD779354,USD779985",35,8,,,,,,,1,1,1,0,US,Y,2015.08.05,http://service.wisdomain.net/FullTextService/View/USD0637509__?key=lEQ7cgkI3IvQhkge4UHIORrRWWXHd%2bYY&site=FOCUST3-KR
11,USD637329,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/372188,2010.10.26,,,,,USD637329,2011.05.03,,,,,,USD637329S,Jackson; Marcus A,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD550383,USD556349,USD560291,USD561358",,,4,0,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637329__?key=lEQ7cgkI3IvQhkge4UHIOYyCZoe9cozU&site=FOCUST3-KR
12,USD637328,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/372179,2010.10.26,,,,,USD637328,2011.05.03,,,,,,USD637328S,Jackson; Marcus A,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automobile lamp, as shown and described.",,"The ornamental design for an automobile lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD550383,USD556349,USD560291,USD561358",,USD787720,4,1,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637328__?key=lEQ7cgkI3IvQhkge4UHIOfKiZ%2fsEmNcl&site=FOCUST3-KR
13,USD637327,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370658,2010.08.18,,,,,USD637327,2011.05.03,,,,,,USD637327S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD549363,USD552769,USD553268,USD560292,USD561357,USD570015",,"USD750291,USD750292,USD750815,USD750816,USD764690,USD771850",6,6,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637327__?key=lEQ7cgkI3IvQhkge4UHIOfb1ACH3iwbL&site=FOCUST3-KR
14,USD637326,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370657,2010.08.18,,,,,USD637326,2011.05.03,,,,,,USD637326S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD549363,USD552769,USD553268,USD560292,USD561357,USD570015",,USD737483,6,1,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637326__?key=lEQ7cgkI3IvQhkge4UHIOfeJnjfpYa2R&site=FOCUST3-KR
15,USD637325,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370656,2010.08.18,,,,,USD637325,2011.05.03,,,,,,USD637325S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD550383,USD556349,USD560291,USD561358",,,4,0,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637325__?key=lEQ7cgkI3IvQhkge4UHIOcUsNw22X0vS&site=FOCUST3-KR
16,USD637324,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370655,2010.08.18,,,,,USD637324,2011.05.03,,,,,,USD637324S,Jackson; Marcus,"Sutton, Charles; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD550380,USD556349,USD560291,USD561358",,"USD735915,USD735916",4,2,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637324__?key=lEQ7cgkI3IvQhkge4UHIOXzPp30BO0hD&site=FOCUST3-KR
17,USD637323,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370654,2010.08.18,,,,,USD637323,2011.05.03,,,,,,USD637323S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD550383,USD556349,USD560291,USD561358",,,4,0,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637323__?key=lEQ7cgkI3IvQhkge4UHIOWlDMQ6WJoBI&site=FOCUST3-KR
18,USD637322,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370653,2010.08.18,,,,,USD637322,2011.05.03,,,,,,USD637322S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD549363,USD552769,USD553268,USD560292,USD561357,USD570015",,"USD750291,USD750292,USD750815,USD750816,USD763490,USD768895",6,6,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637322__?key=lEQ7cgkI3IvQhkge4UHIOewLFwVjgmty&site=FOCUST3-KR
19,USD637321,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370652,2010.08.18,,,,,USD637321,2011.05.03,,,,,,USD637321S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD550383,USD556349,USD560291,USD561358",,,4,0,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637321__?key=lEQ7cgkI3IvQhkge4UHIOVL1nBl7tq6Y&site=FOCUST3-KR
20,USD637320,Automotive lamp,,,,,,,,Yang; Hsiu-Pen,2606,,D26/028,US29/370648,2010.08.18,,,,,USD637320,2011.05.03,,,,,,USD637320S,Jackson; Marcus,"Sutton, Charles R.; Law Offices of Roger C. Hsu",,1,1,"The ornamental design for an automotive lamp, as shown and described.",,"The ornamental design for an automotive lamp, as shown and described.",,Alive,Alive,,2025.05.03,"USD549363,USD552769,USD553268,USD560292,USD561357,USD570015",,"USD724243,USD733343,USD738004,USD743064,USD744678,USD745197,USD745711,USD748829,USD770650,USD771294,USD772447,USD790745",6,12,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637320__?key=lEQ7cgkI3IvQhkge4UHIOUW6%2b%2fFbrfEU&site=FOCUST3-KR
21,USD637206,Portion of an air ram intake for a vehicle,,,,Australian Performance Development Pty Ltd,,AU,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,Luxon; Peter|Randhawa; Manvir,1501,,"D15/005, D12/400",US29/347786,2010.06.04,,,,,USD637206,2011.05.03,AU 14735/2009 (2009.12.04),,,,,USD637206S,Nelson; T. Chase|Dworzecka; Ania K,Duane Morris LLP,,1,1,"The ornamental design for a portion of an air ram intake for a vehicle, as shown and described.",,"The ornamental design for a portion of an air ram intake for a vehicle, as shown and described.",,Alive,Alive,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,2025.05.03,"US6564766,US6637537,US6966292,USD532019,USD545725,US7281511,USD562749,US7685985,USD627369,2002/0179030(US6752115),2003/0019456(US6564766),2006/0185639,2006/0196462(US7281511),2010/0083928(US8137425),2010/0229817,2010/0229818(US8516986)",,"US9683527,USD648745,USD649162,USD669012,USD687071,USD687072,USD693370,USD719190,USD781346,USD787559,USD788175,USD792470",14,12,,,B+,5,,,1,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637206__?key=lEQ7cgkI3IvQhkge4UHIOR8cA7lT9pQ8&site=FOCUST3-KR
22,USD637205,Air ram intake for a vehicle,,,,Australian Performance Development Pty Ltd,,AU,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,Luxon; Peter|Randhawa; Manvir,1501,,"D15/005, D12/400",US29/347784,2010.06.04,,,,,USD637205,2011.05.03,AU 14736/2009 (2009.12.04),,,,,USD637205S,Nelson; T. Chase|Dworzecka; Ania K,Duane Morris LLP,,1,1,"The ornamental design for an air ram intake for a vehicle, as shown and described.",,"The ornamental design for an air ram intake for a vehicle, as shown and described.",,Alive,Alive,AUSTRALIAN PERFORMANCE DEVELOPMENT PTY LTD,2025.05.03,"US6564766,US6637537,US6966292,USD532019,USD545725,US7281511,USD562749,US7685985,USD627369,2002/0179030(US6752115),2003/0019456(US6564766),2006/0185639,2006/0196462(US7281511),2010/0083928(US8137425),2010/0229817,2010/0229818(US8516986)",,"US9683527,USD642593,USD648745,USD649162,USD687071,USD687072,USD687075,USD693370,USD698831,USD719190,USD728447,USD731398,USD781346,USD787559,USD788175,USD792470",14,16,,,B+,5,,,1,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637205__?key=lEQ7cgkI3IvQhkge4UHIOdGqvNaOIyXj&site=FOCUST3-KR
23,USD637145,Tire tread of a vehicle tire,,,,Continental Aktiengesellschaft,,DE,CONTINENTAL AG,Lippert; Frank|Krieger; Ralf|Zimmermann; Bernd,1215,,D12/589,US29/338500,2009.06.12,,,,,USD637145,2011.05.03,EM 001058846-0001 (2008.12.17),,,,,USD637145S,Veynar; Caron|Kirschbaum; George D,"Greenberg, Laurence A.; Stemer, Werner H.; Locher, Ralph E.",,1,1,"The ornamental design for a tire tread of a vehicle tire, as shown and described.",,"The ornamental design for a tire tread of a vehicle tire, as shown and described.",,Alive,Alive,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2025.05.03,"USD58764,USD170055,USD619529,2009/0229719(US8047243)",,"USD730817,USD734247,USD738292,USD740209,USD740211,USD740216,USD769798,USD777644",4,8,,,B-,3,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637145__?key=lEQ7cgkI3IvQhkge4UHIOX8XxaOHzzOu&site=FOCUST3-KR
24,USD637138,Roof box adapted to be mounted on the top of a vehicle for carrying luggage,,,,,,,,Ehrat; Achim,1216,,D12/413,US29/363829,2010.06.15,,,,,USD637138,2011.05.03,DE 40 2009 006 084 (2009.12.16),,,,,"USD637138S, USD669018S",Veynar; Caron|Kile; Katrina A,Baker & Daniels LLP,,1,1,"The design for a roof box adapted to be mounted on the top of a vehicle for carrying luggage, as shown and described.",,"The design for a roof box adapted to be mounted on the top of a vehicle for carrying luggage, as shown and described.",,Alive,Alive,,2025.05.03,"USD297134,USD297631,US4794876,USD312432,USD317429,USD336875,USD337086,USD346144,USD406558,USD410224,USD412881,USD419954,USD434719,USD473181,USD503144,USD513602,USD593482,2005/0045678(US7258260)",,"USD717720,USD724520,USD791484",18,3,,,,,,,2,1,1,2,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637138__?key=lEQ7cgkI3IvQhkge4UHIObXE09zsUEnC&site=FOCUST3-KR
25,USD637130,Side step for a vehicle,,,,,,,,Barkey; Martin,1216,,D12/203,US29/346518,2009.11.02,,,,,USD637130,2011.05.03,,,,,,USD637130S,Cadmus; Stacia,"Watson, Christopher B.; Borden Ladner Gervais LLP",,1,1,"The ornamental design for a side step for a vehicle, as shown and described.",,"The ornamental design for a side step for a vehicle, as shown and described.",,Alive,Alive,,2025.05.03,"US3357719,USD229045,USD284752,US4620609,USD293667,US4785910,US5193829,USD340904,USD381948,US5829774,USD474435,US6588781,US6588783,US6874801,USD505902,USD536651,USD549145,USD549146,USD559755,USD560151,USD588514,2007/0138757,2007/0273123,2008/0231013(US7461852),2009/0008896(US7967311)","DE4001788,JP2009-220978",,25,0,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637130__?key=lEQ7cgkI3IvQhkge4UHIOX7uoxmSQNzO&site=FOCUST3-KR
26,USD637128,Instrument cluster for motor vehicle,,,,Dr. Ing. h.c. F. Porsche Aktiengesellschaft,,DE,PORSCHE AG,Klein; Thorsten,1216,,D12/192,US29/367916,2010.08.16,,,,,USD637128,2011.05.03,EM 001196281 (2010.02.16),,,,,"USD637128S, USD656440S",Veynar; Caron|Kile; Katrina A,RatnerPrestia,,1,1,"The ornamental design for instrument cluster for motor vehicle, as shown and described.",,"The ornamental design for instrument cluster for motor vehicle, as shown and described.",,Alive,Alive,PORSCHE AG,2025.05.03,"USD483309,USD492776,USD531557,USD538694,USD541686,USD589388,USD593012,USD593469,USD626479,2004/0125587(US6966663),2005/0151032(US7325775)",,USD668194,11,1,,,B+,5,,,2,1,1,2,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637128__?key=lEQ7cgkI3IvQhkge4UHIOcHULy1KbVp8&site=FOCUST3-KR
27,USD637127,Decorative element for a vehicle,,,,Bayerische Motoren Werke Aktiengesellschaft,,DE,BAYERISCHE MOTOREN WERKE AG,Faghihzadeh; Nader,1208,,D12/190,US29/375309,2010.09.21,,,,,USD637127,2011.05.03,DE 402010001749 (2010.03.22),,,,,"USD635499S, USD636311S, USD637124S, USD637127S",Veynar; Caron|Kile; Katrina A,Crowell & Moring LLP,,1,1,"The ornamental design for a decorative element for a vehicle, as shown and described.",,"The ornamental design for a decorative element for a vehicle, as shown and described.",,Alive,Alive,BAYERISCHE MOTOREN WERKE AG,2025.05.03,"USD342476,USD403991,USD418468,USD442121,USD447990,USD472861,USD568220,USD607391,USD623104",,"USD748025,USD751961,USD760136",9,3,,,A0,7,,,4,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637127__?key=lEQ7cgkI3IvQhkge4UHIOddndpJBL6l%2b&site=FOCUST3-KR
28,USD637124,Front bumper for a vehicle,,,,Bayerische Motoren Werke Aktiengesellschaft,,DE,BAYERISCHE MOTOREN WERKE AG,Faghihzadeh; Nader,1216,,D12/169,US29/375308,2010.09.21,,,,,USD637124,2011.05.03,DE 402010001749 (2010.03.22),,,,,"USD635499S, USD636311S, USD637124S, USD637127S",Brown; Melody N,Crowell & Moring LLP,,1,1,"The ornamental design for a front bumper for a vehicle, as shown and described.",,"The ornamental design for a front bumper for a vehicle, as shown and described.",,Alive,Alive,BAYERISCHE MOTOREN WERKE AG,2025.05.03,"USD536285,USD575679,USD582314,USD590755,USD597448,USD606465","EM000764022-0002,EM000978028-0001","USD669402,USD670626,USD687356,USD712799,USD713767",6,5,,,A0,7,,,4,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637124__?key=lEQ7cgkI3IvQhkge4UHIOYXr%2fZkf5kA%2b&site=FOCUST3-KR
29,USD637123,Vehicle rear upper bumper cover,,,,Ford Motor Company,,US,FORD MOTOR CO,Lamm; Stefan|Paruch; Boguslaw|Giachin; Roberto,1216,,D12/169,US29/375020,2010.09.16,,,,,USD637123,2011.05.03,,,,,,USD637123S,Brown; Melody N,"Porcari, Damian",,1,1,"An ornamental design for a vehicle rear upper bumper cover, as shown and described.",,"An ornamental design for a vehicle rear upper bumper cover, as shown and described.",,Alive,Alive,FORD MOTOR CO,2025.05.03,"USD555551,USD592570,USD598340,USD605568,USD608702,USD614091,USD617698,USD617699,USD623568,USD628943,USD628945",,"USD647831,USD663658,USD663659,USD671052,USD675550,USD680479,USD685300,USD687752,USD688605,USD688991,USD700115,USD700116,USD749467",11,13,,,A0,7,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637123__?key=lEQ7cgkI3IvQhkge4UHIOYGTnOOA%2bXse&site=FOCUST3-KR
30,USD637122,Vehicle rear upper bumper cover,,,,Ford Motor Company,,US,FORD MOTOR CO,Lamm; Stefan|Paruch; Boguslaw|Giachin; Roberto,1216,,D12/169,US29/375015,2010.09.16,,,,,USD637122,2011.05.03,,,,,,USD637122S,Brown; Melody N,"Porcari, Damian",,1,1,"An ornamental design for a vehicle rear upper bumper cover, as shown and described.",,"An ornamental design for a vehicle rear upper bumper cover, as shown and described.",,Alive,Alive,FORD MOTOR CO,2025.05.03,"USD555551,USD564423,USD580317,USD592570,USD598340,USD605568,USD608702,USD621752",,"USD644577,USD669826",8,2,,,A0,7,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0637122__?key=lEQ7cgkI3IvQhkge4UHIOakos4f0Ha36&site=FOCUST3-KR
